lsm6dsm_accelerometer.x,lsm6dsm_accelerometer.y,lsm6dsm_accelerometer.z,lsm6dsm_gyroscope.x,lsm6dsm_gyroscope.y,lsm6dsm_gyroscope.z
1.4904294,-8.612068,7.7273216,0.64032066,-0.1577513,-0.5668663
2.630011,-26.112873,-7.5062847,-1.1971079,-0.36299598,0.24678229
1.9764715,-13.900505,1.2846466,-1.5489559,0.78784025,-0.04031592
-1.7796619,-8.6599245,1.4476577,-1.8336108,0.61191624,2.1562908
-1.6815561,1.3283156,3.7076788,-1.6747905,2.2184446,1.7323629
-2.4095724,-2.5525436,0.86111706,-1.2154334,2.0596242,0.599852
6.070591,-12.090633,0.5138587,-0.22952586,0.5948125,0.10750912
3.1136606,-3.0170503,5.9748783,0.77715045,1.9875443,-0.0904054
7.583453,-21.628723,2.2232313,-0.27961534,0.14156385,1.1410627
4.962116,0.3681956,-3.4124641,1.0813524,-1.0752438,-1.3328687
-5.552844,-34.061234,-1.9447666,1.9658592,-0.43629766,0.06474981
6.233303,-6.023931,-6.259026,1.5529264,-2.2053113,0.47279578
4.962116,-4.819743,0.35353956,-0.2857238,0.48974678,-1.1520579
-3.1971102,0.8997013,0.84406817,0.57190573,-1.678761,-0.007330167
4.834997,-0.14895321,3.8416767,0.56946236,-2.154,0.8099835
6.1471615,-19.710876,3.0275187,0.09544489,-1.958529,0.33718768
3.9302113,-8.243274,4.607679,0.5902312,-0.57312745,-1.3744063
-3.5754752,-10.4362955,-4.7892346,-0.35291702,0.61558133,-1.4012836
5.658726,-16.488642,3.9014974,-1.6381396,-0.16263808,0.0891837
-0.84855473,-4.5684967,3.1163523,-1.8580446,0.7731799,1.6590612
-0.5491528,1.9483558,2.9892337,-1.2142116,1.260636,0.8796201
-3.5635111,-10.510473,-2.2226331,-0.32603973,1.5587295,1.0885298
4.4784665,-5.1813583,7.6292157,0.46317494,2.896485,-0.351848
7.2580295,-16.040884,2.7595227,-0.45309594,0.8403731,0.16370706
1.3540385,-4.194917,-2.629712,0.94452256,-0.5865661,-0.10140064
-2.9386854,-24.659533,-2.0862422,2.6061797,0.17454961,-0.05619795
6.1328044,-11.949457,-4.549653,0.7576033,-1.4735163,-0.23945212
2.996412,0.36340994,0.8129615,0.7514948,-0.38620818,-1.0469922
-3.0607193,-2.4879375,0.0038883367,0.72828263,-1.810704,-0.2736596
3.5997026,-6.2344995,3.4130623,0.46317494,-1.8436897,0.9370397
5.1678987,-14.874982,2.984448,-0.3077143,-0.9433009,0.14415996
4.638786,-14.594723,-0.65922266,-0.20142688,0.5056288,-0.36650836
-2.9937203,-8.796315,-1.9737796,-1.0981506,1.1201411,-1.5051277
3.7384863,-17.127825,-3.3502507,-2.5360851,0.12690352,0.863738
1.8592232,-1.1614163,5.61087,-0.9710944,1.6784556,1.8594191
-0.9873384,2.7792635,-1.41356,-1.3693669,1.1030375,0.63528115
2.2686949,-12.928421,0.8344969,0.21150586,0.9307785,0.34818295
2.9246275,-5.45414,2.5465615,-1.1971079,1.9386765,0.87839836
5.9123654,-10.773983,2.134697,0.6500942,-0.3361187,-0.27488127
3.8775692,-6.699006,3.676572,0.8724426,0.3113794,0.44836187
-1.8780667,-16.967505,-3.7214375,2.0258749,-2.0452693,-0.28465483
-3.1803603,-20.027029,-6.1968126,1.9377602,-0.4534014,-0.04031592
9.271291,-2.0832512,2.4672992,0.73072606,-1.4515258,-1.9424943
-2.265704,-3.2156546,0.60717875,0.2249445,-0.6097783,-0.9785773
0.38913277,-1.3938192,2.4409783,0.34833565,-1.0960127,0.5509842
5.9769716,-5.6913285,5.5223355,0.47783527,-1.3537903,1.1606098
0.41784665,-16.727924,5.366802,-0.08414421,0.24540788,-0.9345963
-1.4781662,-25.28675,-9.488738,-1.2777398,0.43599224,0.1795891
1.5239289,-7.039086,2.065305,-0.8684721,0.676666,-1.3621894
1.4904294,-14.221442,-3.6206398,-2.2147794,0.010842538,1.4098355
1.0334003,2.9563324,3.9541395,-1.4548855,1.36448,1.1471711
-0.80548394,-5.5450673,1.4763715,-0.14522894,1.6430265,0.5082249
3.757629,-12.023635,2.7954152,-1.2752963,1.6173708,0.45813546
4.950152,-3.1797621,-1.0160524,0.027029991,0.5251759,0.0452027
4.4928236,-18.178871,4.2077785,0.786924,0.4201102,0.36895174
-1.2266207,-4.022634,-2.6632116,0.66353285,0.3077143,-1.0506573
-0.58265233,-26.94109,-4.0348973,2.9225986,0.16599774,0.4263714
5.0530434,-6.632007,-3.4794633,0.51815116,-0.61710846,-0.03420745
7.049555,-1.719243,-0.7908279,0.39353836,-1.019046,-1.4941324
-2.8522446,-2.8902307,1.8687944,0.7172874,-1.5333793,-0.4300365
0.20967108,-4.4485564,2.8839495,0.5584671,-1.4979502,1.007898
7.8756766,-16.804495,3.6547375,0.020921519,-1.0520316,0.12705623
4.497609,-5.930611,7.5140615,0.7624901,-0.5157078,-1.1019684
-1.4303098,-38.93571,-2.4188447,-0.47875154,0.47997323,0.3994941
