lsm6dsv_accelerometer.x,lsm6dsv_accelerometer.y,lsm6dsv_accelerometer.z,lsm6dsv_gyroscope.x,lsm6dsv_gyroscope.y,lsm6dsv_gyroscope.z
-0.70169526,-14.534005,7.27777,1.3422236,-1.8477147,-2.5071437
0.8392825,-16.183855,5.3976097,3.149163,-1.6357445,0.087964594
3.8183467,-11.054841,-7.9304123,0.6759224,-2.1299343,1.6245961
2.9341989,-12.439089,0.41336012,-0.12308934,-0.5885687,0.1049161
3.5940197,-9.845867,3.784249,-0.064751714,0.2854268,0.37415496
3.2368908,-6.6574306,-0.2434697,-0.73991054,0.46211955,0.3475823
0.31764722,-7.596614,1.6564314,0.13072516,-0.5132795,0.08689558
0.99003035,-9.292527,2.4544377,-0.24281894,-0.15210545,0.8750645
-0.56530434,-10.636097,0.506082,-0.345597,2.7079656,2.1636846
-0.49651068,-7.926823,-1.0271192,-0.016646078,0.88208944,1.5500705
-0.45583272,-7.1886373,2.036292,0.27366763,-0.029168816,0.8518516
-1.3674982,-9.039486,3.0478578,-0.16661349,0.34773505,0.85047716
-2.2390838,-8.09791,1.4279169,-0.034055736,0.032528576,0.17470746
-2.4562325,-8.653643,2.2462623,-0.6985244,0.20952678,-0.076052725
-1.8137596,-7.318448,0.85902333,-1.6232216,-0.060170226,-0.9399689
-0.4642076,-13.479966,0.45224348,-1.4727961,-0.72692966,-2.2618814
1.9884356,-10.629517,-1.3908281,-1.4737124,0.40866885,-1.1429288
0.42412782,-9.6173525,-0.15014961,-0.40042216,-0.49602258,-0.58123827
0.023330022,-11.120045,-0.2620141,1.0914634,-0.97692627,-0.0047342055
0.50009996,-9.403194,-0.25124636,1.9888245,-1.6980526,0.8231409
-0.0047856453,-9.429516,1.4668003,0.2134974,-0.65500027,0.3107777
-0.43489552,-10.110872,0.8566305,-0.14752395,-0.1366811,-0.007941248
1.1066805,-8.250452,-0.82612205,0.78877974,-1.3519975,0.24297164
-0.6963114,-11.020144,2.1972094,0.8688031,-0.80970186,0.35170567
4.872385,-5.233701,3.0179477,-0.3904956,0.41233405,-0.26267207
0.34396824,-8.789435,-0.032901313,-0.98792183,1.3426818,0.37400225
1.3770695,-9.38824,3.795615,-1.5716035,0.99280876,-0.15347989
10.077373,-2.3742783,-0.084346995,-1.1884383,0.7305948,-2.955977
1.3429717,-18.57668,0.7298109,-1.3660474,-0.30680707,-0.55970526
2.9862428,-13.754542,-1.5804594,-0.65209866,-0.13637567,-0.5395467
3.798606,-11.404193,-0.024526432,-0.18860464,-0.08903361,-0.27550024
5.0123653,-10.451849,-2.5435705,-0.83260936,2.0237966,-0.36926803
-0.46301118,-8.154739,-4.136592,-0.4364632,-0.2406809,-0.301462
0.90388876,-9.647861,-0.46002015,-0.30497447,0.32925636,0.037110064
0.5455636,-7.220342,-1.3698909,0.07971791,0.50533825,0.6388123
2.6321049,-10.070792,-0.20937198,1.476614,0.49357912,0.030543262
2.1008983,-9.28475,0.1369891,0.02443461,0.34101552,0.25167647
1.8933209,-8.313862,-0.17347965,0.027794369,0.4457789,0.31948254
2.056033,-9.232706,0.56590253,0.099571034,0.30100384,-0.33460143
2.3958137,-9.681958,0.93559366,-0.08781188,0.19364429,-1.1636983
2.958127,-10.419546,2.0781665,-0.7968737,-0.23823744,-1.059393
6.006583,-14.87558,0.21595225,-1.7835737,-0.25228736,-0.9896017
4.5158544,-10.369895,-1.8909281,-0.28008172,0.08002335,-0.5375614
2.2755744,-9.417552,-4.494319,1.0149527,0.8770498,0.46013424
1.0600204,-7.616953,-3.7908292,2.4564419,0.97310835,0.61254513
5.725426,-12.241082,-0.12203395,2.702315,-0.54137933,0.24129178
3.2763724,-6.4360948,0.32362926,-0.6033822,-1.0206031,-0.311694
3.3373895,-5.748158,1.2017952,0.6036876,-0.95478237,-0.2443461
3.7710886,-9.042477,0.99302137,1.6667458,-0.6020077,-0.19364429
2.562115,-6.3972116,3.8327036,1.3903292,0.3379612,0.91446525
2.0237298,-13.046865,3.3960135,-0.35705075,0.5888741,1.5358679
3.6382868,-9.944571,2.5208387,-1.0789407,-1.0228939,0.118966006
3.9942193,-12.422937,3.1304102,-0.43203443,-0.5164866,0.0035124752
6.2805614,-14.840286,3.106482,-0.0926988,-0.41691554,-0.3361286
0.28893334,-10.118649,-0.54376894,-0.84559023,-0.5691737,-0.18005253
-1.9411774,-1.7413766,-1.933999,-0.1339322,-0.20662516,-0.12018774
-0.6239285,-13.424932,-0.18424734,-0.4071417,0.6968445,0.6073528
1.2287145,-7.275975,1.0097711,-1.1301007,1.2669345,-0.27763826
3.2596226,-7.0672016,0.33738798,-0.59498274,1.3035865,0.17547104
3.0915267,-9.2285185,1.2113664,-0.50228393,1.1954633,-0.035888333
4.0761733,-8.584251,0.83030945,-0.9947941,0.5714644,0.081397794
3.8027935,-9.707682,0.8596215,-1.0873401,0.038026363,0.61666846
1.18684,-9.467203,3.5653057,-0.5131268,1.0464121,0.3559817
4.944768,-12.506087,0.32542387,-0.38545597,-1.1779009,0.11224649
-0.55453664,-6.954739,-1.7557336,1.9727893,0.45830166,0.9095783
-1.0007981,-9.717851,-0.2835495,3.2330043,-1.6207782,0.19379699
6.2285175,-21.02992,-4.846064,1.9498819,-0.2405282,-0.43264532
4.080361,-5.21755,1.5062819,0.7699956,-1.2241739,-0.9147707
0.0023928226,-7.326225,2.4388845,0.84864455,-0.12812899,-1.1297953
2.099702,-7.5009007,1.1736795,0.6950119,-0.97387195,-0.06856962
