mc3419_p.x,mc3419_p.y,mc3419_p.z,orientation.x,orientation.y,orientation.z
-3.5520003,-4.9680004,2.1739502,0,0,0
-3.5689502,-4.197,2.15805,0,0,0
-4.87095,-3.45705,0.99600005,0,0,0
-2.94105,-11.616,-5.3310003,0,0,0
-0.13995,-16.515001,-10.729951,0,0,0
-2.3449502,-7.1700006,-4.11705,0,0,0
-10.07205,-12.14805,-2.55795,0,0,0
-2.8530002,-6.6169505,3.5029502,0,0,0
-4.0620003,-6.8689504,4.22205,0,0,0
-0.693,-12.19095,3.834,0,0,0
-2.14395,-8.169001,1.43505,0,0,0
-3.5380502,-8.722051,-2.14395,0,0,0
-1.23405,-9.92805,0.89400005,0,0,0
-2.13,-8.88,0.27795002,0,0,0
-1.3279501,-9.282001,0.28305,0,0,0
-2.8909502,-10.351951,2.364,0,0,0
1.5679501,-12.486001,-2.18505,0,0,0
-1.2889501,-13.39095,-0.79305005,0,0,0
0.70605004,-16.819052,-4.1020503,0,0,0
-7.452,-12.715051,1.9879501,0,0,0
-7.8690004,-12.09105,6.4890003,0,0,0
-1.368,-9.16695,-0.80505,0,0,0
-1.69605,-4.5919504,2.8639503,0,0,0
-1.28505,-3.3349502,1.641,0,0,0
-1.1389501,-2.6089501,1.9279501,0,0,0
2.69595,-9.849001,-5.1220503,0,0,0
-4.155,-18.648,-12.23295,0,0,0
-6.1590004,-3.9600003,-4.05195,0,0,0
-10.79205,-13.06305,-0.13695,0,0,0
-3.8800502,-4.2319503,4.0950003,0,0,0
-1.404,-11.595,4.083,0,0,0
-2.4460502,-9.541051,2.3110502,0,0,0
-7.29405,-5.05095,1.5619501,0,0,0
-2.3740501,-11.36295,1.9020001,0,0,0
0.66300005,-9.77295,-5.5030503,0,0,0
-0.24105,-8.976001,2.124,0,0,0
-1.1770501,-12.02595,3.73095,0,0,0
-0.49905002,-11.587951,-5.8000503,0,0,0
2.6749501,-15.142951,2.42595,0,0,0
0.54795,-15.48795,-4.6410003,0,0,0
-2.7259502,-10.098001,4.61205,0,0,0
-3.17895,-13.951051,2.7250502,0,0,0
-3.6739502,-10.10805,1.49205,0,0,0
-0.06105,-8.36505,2.26305,0,0,0
-2.28795,-6.2509503,1.6360501,0,0,0
-2.733,-6.0930004,1.8940501,0,0,0
-3.1930501,-4.06005,-0.57600003,0,0,0
-0.24105,-9.604951,-3.5419502,0,0,0
0.76395005,-17.59995,-11.671051,0,0,0
-0.93705004,-6.7969503,-6.0919504,0,0,0
-1.605,-12.672001,-0.48495004,0,0,0
-7.7040005,-8.190001,0.47895002,0,0,0
-4.44705,-6.3300004,4.09905,0,0,0
1.36695,-15.214951,5.0620503,0,0,0
3.5389502,-12.076051,7.2190504,0,0,0
0.93600005,-7.63005,-3.9610503,0,0,0
-3.0640502,-8.887051,0.95295006,0,0,0
-2.6490002,-7.4050503,1.0320001,0,0,0
-1.0159501,-9.727051,0.312,0,0,0
0.75705004,-10.788,0.32805002,0,0,0
2.2150502,-12.8539505,-0.066,0,0,0
0.28005,-13.965001,-2.59395,0,0,0
-0.34395,-15.17205,-7.7820005,0,0,0
-4.85895,-14.059051,8.48805,0,0,0
-2.4480002,-12.106951,0.95100003,0,0,0
-3.6529503,-11.21895,1.5499501,0,0,0
-0.873,-5.4700503,3.798,0,0,0
-3.1710002,-4.395,1.3990501,0,0,0
-3.7240503,-4.407,2.5069501,0,0,0
-3.6979501,-3.5740502,0.01995,0,0,0
3.52905,-21.672,-10.97595,0,0,0
-0.47805002,-11.76,-9.955951,0,0,0
-8.84595,-4.8790503,-1.9950001,0,0,0
-4.005,-20.206951,-0.48195,0,0,0
-3.41595,-2.69295,3.3960001,0,0,0
-3.2650502,-12.723001,4.5760503,0,0,0
3.2710502,-12.442051,6.0600004,0,0,0
-0.16905001,-7.9170003,-3.6000001,0,0,0
-1.35195,-10.656,-2.01195,0,0,0
-0.597,-8.884951,0.273,0,0,0
-2.3119502,-8.595,0.01695,0,0,0
0.62700003,-10.812,0.702,0,0,0
2.766,-12.370951,0.28305,0,0,0
0.16800001,-11.398951,1.0830001,0,0,0
-1.3279501,-13.312051,-1.2030001,0,0,0
1.2760501,-13.218,-3.561,0,0,0
-5.793,-15.141001,5.14305,0,0,0
-2.76195,-12.960001,3.9250503,0,0,0
3.4840503,-11.667001,-0.46995002,0,0,0
-1.9240501,-6.0160503,2.538,0,0,0
-1.8570001,-5.1660004,2.15505,0,0,0
-3.0730503,-3.2629502,2.7829502,0,0,0
-1.8499501,-3.65805,0.75900006,0,0,0
-1.4470501,-18.361052,-12.556951,0,0,0
0.58395004,-11.545051,-8.922001,0,0,0
-2.841,-8.51295,-2.19195,0,0,0
-11.37405,-19.22295,-3.255,0,0,0
-4.53105,-2.01105,3.58905,0,0,0
-0.744,-16.744951,6.2179503,0,0,0
2.7250502,-10.93395,7.5880504,0,0,0
1.8010501,-9.12405,-5.5080004,0,0,0
-2.14395,-9.74205,0.3,0,0,0
-3.21405,-7.2780004,0.052950002,0,0,0
-2.50305,-10.38105,1.9660501,0,0,0
3.9270003,-12.804001,-2.6509502,0,0,0
3.141,-12.442051,0.65895003,0,0,0
-2.115,-13.369051,1.2910501,0,0,0
2.65995,-13.491,-7.6440005,0,0,0
-6.1519504,-15.459001,7.8970504,0,0,0
-7.905,-10.783051,4.7200503,0,0,0
4.3699503,-10.15095,0.49095002,0,0,0
-1.491,-5.35995,2.7559502,0,0,0
-2.22795,-4.3039503,1.9519501,0,0,0
-2.9850001,-3.732,2.3110502,0,0,0
-1.33305,-8.06805,-2.4790502,0,0,0
0.66300005,-18.081001,-10.876051,0,0,0
-0.13305001,-11.43,-7.4140506,0,0,0
-3.8749502,-5.15205,-1.3440001,0,0,0
-8.38605,-16.881,-3.8200502,0,0,0
-5.5630503,-2.0389502,2.89995,0,0,0
-2.3089502,-13.857,5.0209503,0,0,0
2.6749501,-12.78705,7.155,0,0,0
1.6830001,-9.13605,-3.6139503,0,0,0
-1.67295,-10.09605,0.14895001,0,0,0
-1.9069501,-7.728,1.2070501,0,0,0
-1.59105,-9.19305,0.024,0,0,0
1.05795,-11.425051,0.34305,0,0,0
3.1699502,-12.871051,-1.71,0,0,0
4.2120004,-14.113951,0.372,0,0,0
