Acellerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z
-6.276972,-19.527826,0.8356933,-0.6814202,3.1603115,-4.4474044
-6.5814586,-13.143775,-2.5692933,-0.6724099,0.89369583,-1.9556851
-1.9543378,-7.5146594,4.729414,0.05513059,-0.19975294,-1.0607675
1.3627125,-6.5635123,-0.29072794,0.18280143,0.047036625,-1.3939945
-4.9722853,-6.4360948,0.91166544,-0.27382034,-0.6954701,-1.0584768
-4.4368916,-3.6131623,1.2317054,0.3747658,-0.59727347,0.31413746
-0.779462,-6.2865434,0.887139,1.1951579,-0.6430884,1.9456058
9.872188,-19.17668,-0.10348958,-0.23243423,-1.2577715,1.0256428
12.751352,-12.165709,0.40917268,0.3465133,1.5204436,0.13561209
-1.2113664,-7.335796,0.91465646,0.13316862,-1.3197744,-0.12018774
-1.4847465,-16.127625,-8.357532,0.98883814,-1.007775,0.17944166
-3.4097722,-9.933205,1.0187442,-1.3359623,-0.6957755,0.004886922
-2.8905299,-6.658029,2.324029,-0.47342056,0.27885997,0.52213705
-6.0173507,-11.2139635,4.929813,-0.82512623,-0.5864306,0.60231316
-4.15394,-7.34118,2.757728,1.4219415,-1.7342464,1.481501
-1.3992031,-10.225728,0.8446664,1.4191927,-3.765068,1.7499762
1.3214363,-10.607981,-10.007382,3.1925344,0.65301496,1.861001
-0.567099,-9.832706,2.2869403,-0.9983065,1.5193746,1.1171198
-0.071186475,-10.533804,4.9956155,0.31398472,-0.49373183,1.0088439
0.24885355,-10.44168,0.5401797,0.37048978,0.36483926,0.9101892
3.431906,-13.304094,3.728616,0.53878313,-0.35185838,0.27275133
2.3994029,-13.153346,-5.1146584,-0.18845193,1.9960022,-0.603993
0.038285162,-9.008379,-3.0352955,-1.4957036,0.25518894,-2.6945267
-4.028915,-17.694324,1.0875379,-1.8800905,2.8238773,-4.2520804
-7.4267235,-16.015162,-0.07836494,0.04153884,1.2722796,-2.8365529
-2.5950162,-8.373085,2.804388,-0.11927144,0.35002577,-1.1829406
1.5020944,-6.59761,-0.5054838,-0.006566802,-0.6747007,-1.539075
-4.35733,-6.6532435,0.94396853,0.015271631,0.45066583,-1.2374603
-5.227121,-4.6815577,1.1964114,0.528093,-1.0300715,-0.19975294
-2.9096723,-3.6454654,-0.18424734,0.8888089,-0.48670688,1.2519683
6.792027,-12.536596,-10.693524,0.47433686,-2.2476788,1.9543107
14.096118,-22.855644,2.589034,0.2518292,-0.2507602,0.83459467
7.0935225,-6.451648,1.3477573,1.206917,-1.4537066,0.12935072
-3.359523,-17.737995,-7.0139613,0.50671273,1.842675,-0.559858
-2.7930222,-8.029715,0.63948184,-0.9787588,-1.7580702,-0.19868392
-4.6325045,-8.545368,2.11705,-1.3391694,-0.27030787,-0.48670688
-5.3132625,-10.063614,1.8041883,-0.0759,1.328021,0.8526152
-5.5507503,-7.899904,3.0269206,0.63056564,-0.93584555,1.7753271
-1.4350954,-8.8492565,1.0666007,1.3286319,-3.5958583,2.0917554
-0.08135597,-12.930814,1.9573289,3.4413095,-2.2899811,3.0995302
3.2147572,-9.01795,-4.877769,-0.55924714,3.7146716,1.4627168
0.25722843,-9.704092,1.2837493,-0.038026363,-1.4460708,0.9014844
-0.061615184,-11.044671,1.5678971,0.21212296,0.42348233,0.86651236
2.4472594,-12.932609,4.1629133,0.13637567,-0.24617869,-0.001527163
0.8470592,-13.584054,-5.3150573,-0.032986723,1.9961549,-0.47510046
3.367898,-8.27797,0.21714866,-1.7573066,-0.54626626,-1.3686435
-0.7160522,-16.807186,0.5808577,-2.0544925,0.76831573,-4.544379
-8.739784,-20.685951,2.6949165,-0.65209866,2.2386684,-4.216345
-4.066602,-7.2179494,0.8207382,1.1746938,-1.3284792,-0.9433287
1.919642,-6.3385873,2.0751755,0.18570304,-1.4515685,-1.6029104
-4.4057846,-7.370492,2.1882362,0.2518292,-0.21746802,-1.120785
-5.2510495,-4.518247,-0.23449662,0.853226,-0.9757045,0.22128594
-2.0237298,-5.096114,-2.1003,0.573297,-0.9560041,1.5238034
6.7698936,-12.517453,-1.911267,0.3359759,-0.31627548,1.3084733
12.723834,-18.645472,1.5577276,0.98700553,1.4143058,1.1404854
3.9260237,-9.82493,-2.2199411,0.28527406,-2.4956899,0.15851954
-3.3349965,-17.221144,-8.380861,0.40500367,0.58062744,-1.0346531
-2.8151557,-7.2562346,2.129014,-2.3915374,-1.5477798,-0.7270824
-6.8201427,-9.778868,3.0311081,-0.75609845,1.1348349,0.16676621
-7.4189467,-8.789435,4.206582,0.16554448,0.58291817,1.2061534
-3.2673993,-8.108678,2.5752754,1.3477215,-2.4303274,1.7528778
-1.1138589,-10.858031,0.61675006,1.6464345,-4.203211,2.584418
0.72083783,-13.506288,-3.1794631,4.495052,-0.48059824,2.7331638
-0.18185452,-8.999406,1.7641085,-0.8035932,2.702926,0.77778417
-0.948156,-10.657034,4.4638104,-0.3837761,-1.0716103,0.5864306
0.5449654,-11.142179,1.5750755,-0.093767814,0.5028948,0.79534656
