acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z
0.461761475,1.60736084,0.453384399,-0.910512149,-1.091198564,2.147213459
0.606643677,0.848510742,-0.199356079,0.022390526,-1.007483959,1.074475527
0.415008545,0.612838745,-0.293624878,1.097222328,-0.633869886,-0.10604015
0.27406311,0.922698975,-0.130264282,1.078148007,-0.603245676,0.040242761
0.625579834,0.755081177,0.199859619,0.554730058,-0.311395973,0.249274269
0.30456543,0.87046814,-0.082489014,0.427129746,-0.364444792,0.257023007
-0.040649414,0.851150513,0.130691528,1.17130053,-0.236446619,-0.386442512
-0.675048828,1.117752075,-0.169754028,0.875724316,-0.944114327,-1.376418352
0.249221802,0.339416504,-0.004669189,1.336180568,-1.474958181,-2.867650509
0.057403564,0.484954834,0.173477173,0.033345707,-1.693817258,-0.062966451
-0.435043335,0.980484009,-0.342819214,0.25410524,-0.276833206,0.346884728
0.119415283,1.30682373,0.115188599,-0.275002807,0.315551043,0.299426377
0.042007446,1.227127075,0.008132935,-0.874268651,-0.600778222,-0.545059562
0.387191773,1.008560181,-0.09362793,-2.506426573,1.27357769,-0.568442404
0.730941773,1.123596191,0.007354736,-2.744087458,2.107544661,-0.665205956
0.570083618,1.032012939,-0.118347168,-1.591400146,1.35673058,0.043343745
-0.084518433,1.12991333,0.06640625,-2.204363823,-1.362981081,-0.679648042
-0.023147583,0.9190979,0.119506836,-2.849005699,-2.057500601,-0.569703162
0.413742065,0.52420044,-0.003936768,-1.115008593,-2.164105177,-0.622858226
0.429504395,0.401412964,0.001785278,0.664027512,-0.952357829,-0.214484602
0.206085205,0.48059082,0.381881714,1.874596119,-0.613872469,0.220254347
0.101806641,1.331573486,1.139450073,0.405448705,-0.262624443,0.257000893
0.062225342,1.238433838,0.681030273,-1.068783283,-0.882243455,-0.654332042
1.045425415,1.017486572,0.286605835,0.573416412,-0.137951747,0.45240581
0.106323242,0.688140869,0.244186401,0.325906992,1.669333816,-0.035840288
0.382644653,0.41355896,-0.447738648,2.189241886,1.467921376,0.484884918
0.489868164,1.06489563,-0.113250732,2.021721363,0.804802477,1.303672433
0.063873291,1.084579468,0.179244995,1.318381429,0.129143342,0.11256063
