AccelerationX,AccelerationY,AccelerationZ,GyroscopeX,GyroscopeY,GyroscopeZ
-0.6166534424,1.147140503,0.1156311035,0.7550287843,-0.7153136134,-0.4723329246
-0.3203430176,0.5101776123,-0.1036224365,-0.2575481832,-0.2267351449,0.2828601897
0.08546447754,0.9627532959,-0.07398986816,0.301707387,-0.06384901702,1.332215428
-0.6788482666,0.6426544189,-0.1317749023,1.151800871,-0.7044015527,-0.3754122257
-0.1479797363,0.8708648682,0.1651306152,0.5524687767,-0.8931994438,0.1396705508
-0.08070373535,0.8293609619,-0.05972290039,0.7867148519,-0.505536437,0.4886817932
-0.09466552734,0.8744049072,0.1870269775,0.5629847646,-0.9203932881,0.3782548904
0.1047363281,0.8271484375,0.1654968262,0.2845475674,-0.4917020798,0.3571858406
0.2621307373,0.5574951172,0.02372741699,0.3616324961,0.7238042951,0.1126037762
0.04098510742,1.448013306,-0.01039123535,0.3996049166,0.9193514585,0.1180744395
-0.1141662598,1.72517395,0.3621826172,-0.2322846353,0.08935251832,0.0613110289
0.02168273926,1.397491455,-0.09460449219,-1.038452506,0.3885203004,0.9727272987
-0.0983581543,0.5769042969,-0.01306152344,-2.104968309,1.275180936,0.7847640514
-0.4057617188,0.6114044189,-0.1475982666,-2.338660002,2.656219244,-1.478221416
-0.7913513184,2.225357056,0.6826934814,-1.607497573,-1.218288302,-4.582664013
-0.6518554688,1.066665649,0.08996582031,-2.183353186,0.6597909927,1.36079216
-0.09948730469,0.4157409668,0.1528015137,-1.15339005,1.124320507,0.8841292858
-0.4284667969,0.4138641357,0.2115936279,-0.6290029287,1.59988308,0.7882583737
-0.2182617188,0.3882141113,0.1729431152,0.8028607965,0.7557875514,0.3496059477
-0.2903137207,0.6242523193,0.4047546387,1.286905766,0.4630792439,0.3658688068
-0.5752563477,1.222717285,0.9992980957,-0.1633985192,0.802503109,-0.06188467145
-0.28125,1.185058594,0.69480896,0.2667019963,0.3403128386,0.1835812777
-0.5811462402,1.027130127,0.4901123047,-0.2398820966,-0.4103577137,-0.4505538642
-0.6169128418,1.281173706,-0.3278503418,2.490868092,-0.4885520935,-0.08693915606
-0.5823974609,0.372756958,0.5655517578,0.09252993017,-0.1756882071,-1.0708462
0.0869140625,0.5583343506,-0.4823455811,1.728021622,-0.7708306909,-1.020569444
-0.6291351318,1.527832031,-0.3226013184,3.165449142,0.7272304296,0.876173079
-0.3042755127,0.6929931641,0.4083251953,0.8741719723,-1.80486095,0.1749260128
-0.2983398438,0.9212646484,-0.1767272949,1.415914059,-0.05330955982,-0.2848831415
-0.3301086426,0.7851715088,0.2322845459,1.020180821,-0.08783184737,-0.911028266
-0.3073272705,1.055450439,0.1986999512,0.4435593188,-0.3259488046,-0.319276005
-0.3399505615,1.18649292,0.2576293945,-0.3898889124,-0.4292544127,-0.2172814459
-0.5488586426,1.267349243,0.4814605713,-0.5658221245,-0.6639758348,0.2496351302
