icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z
-6.5445504,6.477513,-1.417966,0.120371334,-0.13754821,0.09453943
-6.779182,6.7743936,2.2182279,0.10119714,-0.5370106,0.022103585
-6.75524,6.2285156,1.3940239,0.8511212,0.004127778,0.13075735
-7.6943655,8.31207,0.57520694,0.5688344,0.82009625,0.005059857
-7.306505,11.546038,2.4289176,-0.22476417,0.3726984,-0.54686403
-4.7046065,11.675324,0.86251116,-0.21730754,0.53780955,-0.048201796
-1.7441759,9.711481,0.39743748,0.48042008,0.73913854,0.49293658
-6.1129956,6.506243,-0.4309563,-0.78507674,1.4113007,7.99E-04
-7.253234,7.3591776,1.0971429,-1.0279498,1.6669565,-0.009853406
-3.5978866,8.302493,-0.670975,-0.55285597,1.5359329,0.1712362
-4.8865657,8.51857,-0.88166475,-0.5187685,1.3463213,-0.116376705
-4.72376,8.240244,-1.2599486,-0.6029219,1.1513838,-0.08122402
-4.7189717,7.972093,-0.66139823,-0.6615097,1.0501866,-0.03967993
-4.6375685,8.082227,-1.2551602,-0.4186366,0.9734898,-0.08228925
-4.158728,7.9433627,-1.6717514,-0.3035914,0.63155,-0.07589785
-5.217564,7.689577,-2.055422,-0.361114,0.5101135,-0.15579033
-5.595848,7.133524,-2.3906105,-0.49852905,0.45259088,-0.21544337
-4.987122,7.0090256,-2.2852654,-0.79466385,0.74766046,-0.3027925
-4.9583917,6.9132576,-3.4446578,-0.88627386,1.0981221,-0.3805545
-9.98442,16.849792,1.3317747,-1.348585,-0.035285845,0.11051793
-2.7880478,6.6642604,1.3844471,-0.4676373,1.1812103,-0.75351924
-3.1860838,3.731962,-0.7332243,-2.536453,0.3332848,-1.9018404
-10.089765,1.4993688,4.63278,-4.2482824,0.20545682,-0.65445256
-6.477513,8.446744,11.684901,-1.3187585,-0.070438534,0.654852
-5.020641,6.63553,2.634819,0.30465665,0.146869,-0.29320538
-7.2484455,6.5110316,2.3666685,-0.141676,0.5367443,-0.5308855
-8.120534,6.0411696,2.409764,0.030891757,0.18308693,-0.22183478
-6.7265096,6.2763996,1.6382325,0.17363298,-0.7607095,-0.18135592
-6.5206084,6.530185,3.8899791,0.099066675,-0.8043841,-0.13981183
-7.2484455,5.5000796,3.1238346,0.48255056,-0.57748944,-0.31451005
-8.523358,4.6902413,2.6970682,0.37389678,-0.589207,-0.38481542
-7.996035,4.39336,1.8926164,0.5720301,-0.57322854,-0.009853406
-8.225879,3.7942111,2.5725696,0.2226337,-0.15991811,0.101996064
-9.313444,4.5082817,2.6779146,0.08841434,0.3215672,0.064712904
-9.3421755,6.199785,1.1306617,0.26311255,0.095737815,0.1904104
-8.576031,6.381745,3.875614,-0.42609322,-0.021437814,-0.3123796
-10.554239,10.866084,8.029554,-1.3038452,-1.0451268,0.5781552
-1.4610616,7.4788876,6.578069,0.20452474,-0.5679023,1.660432
0.16759412,7.6943655,2.5151088,0.62848747,1.0352733,0.5920032
-10.056246,5.825691,2.1080947,-0.67855346,1.0555128,-0.75778013
