accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
-3.38264,8.687078,7.162604,-0.93665,-1.52997,-0.60476
-2.63586,-5.58547,-0.06046,-0.27624,1.748402,0.130002
2.261819,4.239498,-8.93605,1.585626,-2.9202,0.19992
-5.28152,9.290361,-7.72308,0.093728,-4.22626,-0.50569
-0.66387,-0.28211,-6.60823,0.930871,-0.12636,0.275192
0.754637,-0.00034,-6.57528,1.674664,0.247241,-0.2773
1.76216,0.431304,-4.85054,2.857271,1.010463,-0.10556
1.768813,-0.93467,-1.86541,3.101915,1.01774,0.493685
1.418852,-2.32523,4.334621,3.75702,-1.51738,0.938365
0.48977,-2.11195,2.167331,1.137148,-1.67152,0.846113
0.44036,-0.81087,0.935655,1.848421,-0.93771,0.435415
0.26713,2.79044,3.711787,3.954254,0.455802,0.089762
4.567766,7.311032,14.03631,-2.05828,-2.48684,-0.00145
2.34553,6.905975,1.588799,-0.57815,0.202929,-0.07026
0.9114,2.489797,6.8927,-1.78858,2.142079,-0.3434
2.248056,4.580974,-1.36878,-4.71766,2.359572,-0.70827
0.380007,6.696138,-6.30868,-3.13773,-1.35271,-0.57676
-2.27874,3.22727,-5.76142,-2.58222,-2.55557,0.646415
-3.45642,-1.51861,-4.47901,-2.19562,0.365247,0.9067
-1.38406,-5.47657,-4.6725,-2.25625,2.791801,-0.49505
-0.09519,-4.41019,-6.77217,-1.46848,1.034695,-0.96287
0.362119,-2.78234,-7.10968,0.580878,-0.23027,0.060068
0.641,-3.74224,-5.13404,2.981957,0.574071,0.637897
1.343865,1.712082,18.85644,-0.05211,7.330493,0.371763
-7.3148,7.118938,7.862848,-2.35057,-1.35477,-1.97964
-2.2258,-3.95463,-2.85729,-0.06403,1.471903,0.487658
1.091812,7.478363,-2.16378,0.156589,-4.27337,-0.04962
-1.84512,2.575292,-6.45477,0.728557,-5.45958,0.384941
-1.72782,0.769479,-5.80756,1.166898,-2.83914,-0.26234
0.573417,-0.15187,-6.25473,0.623382,-0.5949,-0.86569
2.463135,0.369186,-5.938,2.119428,1.860425,-0.5924
2.897035,-1.77256,-2.27251,3.632694,2.569955,0.037675
3.352609,-2.3211,4.212385,4.716924,-0.20303,0.797406
1.146888,-0.39871,3.810363,1.32632,-0.76704,0.996153
-0.14739,2.537924,2.896874,2.775955,-0.26582,0.822587
-1.661,0.947422,7.371846,0.979012,-0.13935,-0.05459
4.169253,6.227779,9.474124,-1.3461,-3.05866,-0.20297
3.928775,6.14116,1.981893,-0.77774,-0.05784,-0.1803
1.430247,1.502509,6.948074,-2.91198,2.788922,-0.2971
3.266491,5.014168,-3.17525,-4.85658,3.067886,-0.22988
0.175707,8.485654,-6.79399,-2.78198,-2.3916,-0.3267
-2.54378,3.5115,-5.21949,-2.0124,-3.01653,1.1393
-4.94003,-3.86698,-2.0996,-1.97668,4.103824,0.787765
-0.62615,-5.99349,-5.74854,-2.26277,1.578514,-0.87287
0.185245,-5.49202,-6.80173,-1.26773,0.174567,-0.8205
0.637445,-3.79642,-6.86772,0.888495,-0.01561,0.170349
0.80287,-2.75074,-5.13022,3.426162,0.819337,0.743391
-1.44962,8.608065,24.253,-1.42074,7.356382,-0.39541
-4.57378,2.895007,3.634917,-1.88255,-2.55109,-0.66436
-6.9504,0.721454,-2.47849,0.767094,3.68076,0.208141
-0.07704,7.362616,-10.0847,-1.33078,-5.89071,-1.13437
-1.35832,-2.93391,-6.83399,2.111103,-2.76276,-0.14651
-0.56505,1.013538,-6.98986,2.304836,-1.61284,-0.63484
1.200614,2.978749,-6.32689,1.547947,0.11067,-0.43042
2.573013,0.602581,-4.85545,2.389933,1.912233,0.168679
2.724981,-2.66146,-0.86194,5.101139,1.952411,0.260467
1.586505,-2.12981,7.98144,2.624048,-2.53642,0.898258
0.952271,0.415911,0.852871,0.379214,-0.30674,1.053648
-0.06909,0.904535,1.970389,3.180298,0.230634,0.540801
-0.13429,2.758007,10.17403,0.734537,-0.3449,-0.25276
4.066452,5.708861,4.609771,-1.3079,-2.31502,-0.29984
3.632795,6.692433,2.248968,-0.22328,0.97129,0.09554
1.714701,2.104631,4.996916,-3.50565,3.029962,-0.37896
1.2782,3.667325,-3.65285,-3.86725,1.07124,-0.45026
-0.51037,4.885149,-5.73741,-2.94012,-2.06995,-0.21763
-2.56855,2.175295,-5.20655,-2.40692,-1.94403,0.911948
-1.63967,-3.16612,-3.06434,-1.8268,2.776038,0.44952
-0.28892,-4.59861,-5.54867,-2.05579,1.474797,-0.34144
-0.11576,-4.26738,-6.52824,-0.56409,0.777592,-0.15815
0.362698,-4.89387,-5.75001,1.173312,0.350378,0.293669
-0.02708,-3.54061,-1.61857,2.082047,2.761228,0.777375
-2.15487,8.158464,13.03236,-0.77949,4.924539,-0.7185
-6.1891,2.163742,4.401418,-1.52435,-2.36879,-0.58922
-6.07839,0.240372,-2.76466,0.841835,1.396561,0.434549
-3.67307,12.8094,-0.8345,-1.15542,-3.87375,-1.11429
-0.64646,-4.48941,-6.809,1.676802,-3.67466,0.153842
-1.01772,-1.28754,-6.26141,2.27468,-2.66605,-0.7575
-0.42257,1.998882,-5.71064,1.088698,-1.14873,-0.8175
1.156993,2.025548,-5.51803,1.734622,1.042222,-0.36932
2.214754,-1.33631,-2.42763,3.570678,1.789696,-0.18904
4.302913,-2.26186,6.496056,4.207398,-2.7621,0.287491
